epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1250.48,0.28252,0.2238,0.82795,0.99565,0.99493,0.99498,0.97633,0.13871,0.15545,0.6899,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1290.31,0.27976,0.22428,0.82997,0.99462,0.99749,0.99495,0.98015,0.1392,0.1677,0.69018,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1330.45,0.27731,0.21928,0.82768,0.9953,0.99807,0.99488,0.98044,0.14075,0.13529,0.68894,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1370.24,0.27243,0.21736,0.82603,0.997,0.99687,0.99498,0.97367,0.12949,0.12734,0.68663,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1410.09,0.27194,0.22003,0.82537,0.99505,0.9953,0.99485,0.9771,0.13016,0.13672,0.68547,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1449.91,0.26967,0.21455,0.82553,0.99724,0.99794,0.99499,0.97846,0.12753,0.13016,0.68666,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1489.74,0.26598,0.21345,0.8247,0.99307,0.99611,0.99483,0.97965,0.13516,0.16703,0.68699,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1529.45,0.26193,0.21089,0.82496,0.99479,0.99747,0.99477,0.98151,0.12694,0.12918,0.68429,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1569.24,0.26169,0.21237,0.82463,0.99725,0.99851,0.99498,0.98327,0.1206,0.11556,0.68621,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1609.24,0.25719,0.20929,0.82458,0.99711,0.99737,0.99496,0.98276,0.11889,0.11755,0.68544,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
